ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1857,1856,916,,,wiktionary2017
1858,1858,916,,,wiktionary2017
1859,1859,917,,,deVaan2008
1860,1861,917,,,deVaan2008
1861,1860,918,,,deVaan2008
1862,1862,918,,,deVaan2008
1863,1863,919,,,wiktionary2017
1864,1865,919,,,wiktionary2017
1865,1864,920,,,wiktionary2017
1866,1866,920,,,wiktionary2017
1867,1867,921,,,deVaan2008
1868,1869,921,,,deVaan2008
1869,1868,922,,,deVaan2008
1870,1870,922,,,deVaan2008
1871,1871,923,,,deVaan2008
1872,1873,923,,,deVaan2008
1873,1872,924,,,deVaan2008
1874,1874,924,,,deVaan2008
1875,1875,925,,,wiktionary2017
1876,1877,925,,,wiktionary2017
1877,1876,926,,,wiktionary2017
1878,1878,926,,,wiktionary2017
1879,1879,927,,,wiktionary2017
1880,1880,927,,,wiktionary2017
1881,1881,928,,,wiktionary2017
1882,1882,928,,,wiktionary2017
1883,1883,929,,,wiktionary2017
1884,1884,929,,,wiktionary2017
1885,1885,930,,,deVaan2008
1886,1887,930,,,deVaan2008
1887,1886,931,,,deVaan2008
1888,1888,931,,,deVaan2008
1889,1889,932,,,wiktionary2017
1890,1890,932,,,wiktionary2017
1891,1891,932,,,wiktionary2017
1892,1892,933,,,wiktionary2017
1893,1894,933,,,wiktionary2017
1894,1893,934,,,wiktionary2017
1895,1895,934,,,wiktionary2017
1896,1896,935,,,wiktionary2017
1897,1897,935,,,wiktionary2017
1898,1898,936,,,deVaan2008
1899,1900,936,,,deVaan2008
1900,1899,937,,,deVaan2008
1901,1901,937,,,deVaan2008
1902,1902,938,,,wiktionary2017
1903,1904,938,,,wiktionary2017
1904,1903,939,,,wiktionary2017
1905,1905,939,,,wiktionary2017
1906,1906,940,,,wiktionary2017
1907,1908,940,,,wiktionary2017
1908,1907,941,,,wiktionary2017
1909,1909,941,,,wiktionary2017
1910,1910,942,,,wiktionary2017
1911,1912,942,,,wiktionary2017
1912,1911,943,,,wiktionary2017
1913,1913,943,,,wiktionary2017
1914,1914,944,,,wiktionary2017
1915,1916,944,,,wiktionary2017
1916,1915,945,,,wiktionary2017
1917,1917,945,,,wiktionary2017
1918,1918,946,,,wiktionary2017
1919,1920,946,,,wiktionary2017
1920,1919,947,,,wiktionary2017
1921,1921,947,,,wiktionary2017
1922,1922,948,,,wiktionary2017
1923,1924,948,,,wiktionary2017
1924,1923,949,,,wiktionary2017
1925,1925,949,,,wiktionary2017
1926,1926,950,,,wiktionary2017
1927,1928,950,,,wiktionary2017
1928,1927,951,,,wiktionary2017
1929,1929,951,,,wiktionary2017
1930,1930,952,,,wiktionary2017
1931,1932,952,,,wiktionary2017
1932,1931,953,,,wiktionary2017
1933,1933,953,,,wiktionary2017
1934,1934,954,,,wiktionary2017
1935,1936,954,,,wiktionary2017
1936,1935,955,,,wiktionary2017
1937,1937,955,,,wiktionary2017
1938,1938,956,,,wiktionary2017
1939,1939,956,,,wiktionary2017
1940,1940,957,,,wiktionary2017
1941,1942,957,,,wiktionary2017
1942,1941,958,,,wiktionary2017
1943,1943,958,,,wiktionary2017
1944,1944,959,,,wiktionary2017
1945,1946,959,,,wiktionary2017
1946,1945,960,,,wiktionary2017
1947,1947,960,,,wiktionary2017
1948,1948,961,,,wiktionary2017
1949,1950,961,,,wiktionary2017
1950,1949,962,,,wiktionary2017
1951,1951,962,,,wiktionary2017
1952,1952,963,,,wiktionary2017
1953,1954,963,,,wiktionary2017
1954,1953,964,,,wiktionary2017
1955,1955,964,,,wiktionary2017
1956,1956,965,,,wiktionary2017
1957,1957,965,,,wiktionary2017
1958,1958,966,,,wiktionary2017
1959,1960,966,,,wiktionary2017
1960,1959,967,,,wiktionary2017
1961,1961,967,,,wiktionary2017
1962,1962,968,,,wiktionary2017
1963,1964,968,,,wiktionary2017
1964,1963,969,,,wiktionary2017
1965,1965,969,,,wiktionary2017
1966,1966,970,,,wiktionary2017
1967,1968,970,,,wiktionary2017
1968,1967,971,,,wiktionary2017
1969,1969,971,,,wiktionary2017
1970,1970,972,,,wiktionary2017
1971,1971,972,,,wiktionary2017
1972,1972,973,,,wiktionary2017
1973,1974,973,,,wiktionary2017
1974,1973,974,,,wiktionary2017
1975,1975,974,,,wiktionary2017
1976,1976,975,,,wiktionary2017
1977,1977,975,,,wiktionary2017
1978,1978,975,,,wiktionary2017
1979,1979,976,,,wiktionary2017
1980,1980,976,,,wiktionary2017
1981,1981,976,,,wiktionary2017
1982,1982,977,,,wiktionary2017
1983,1983,977,,,wiktionary2017
1984,1984,978,,,wiktionary2017
1985,1986,978,,,wiktionary2017
1986,1985,979,,,wiktionary2017
1987,1987,979,,,wiktionary2017
1988,1988,980,,,wiktionary2017
1989,1990,980,,,wiktionary2017
1990,1989,981,,,wiktionary2017
1991,1991,981,,,wiktionary2017
1992,1992,982,,,wiktionary2017
1993,1994,982,,,wiktionary2017
1994,1993,983,,,wiktionary2017
1995,1995,983,,,wiktionary2017
1996,1996,984,,,wiktionary2017
1997,1998,984,,,wiktionary2017
1998,1997,985,,,wiktionary2017
1999,1999,985,,,wiktionary2017
2000,2000,986,,,deVaan2008
2001,2002,986,,,deVaan2008
2002,2001,987,,,deVaan2008
2003,2003,987,,,deVaan2008
2004,2004,988,,,wiktionary2017
2005,2006,988,,,wiktionary2017
2006,2005,989,,,wiktionary2017
2007,2007,989,,,wiktionary2017
2008,2008,990,,,wiktionary2017
2009,2009,990,,,wiktionary2017
2010,2010,990,,,wiktionary2017
2011,2011,991,,,wiktionary2017
2012,2012,991,,,wiktionary2017
2013,2013,991,,,wiktionary2017
2014,2014,992,,,deVaan2008
2015,2016,992,,,deVaan2008
2016,2015,993,,,deVaan2008
2017,2017,993,,,deVaan2008
2018,2018,994,,,deVaan2008
2019,2020,994,,,deVaan2008
2020,2019,995,,,deVaan2008
2021,2021,995,,,deVaan2008
2022,2022,996,,,wiktionary2017
2023,2024,996,,,wiktionary2017
2024,2023,997,,,wiktionary2017
2025,2025,997,,,wiktionary2017
2026,2026,998,,,wiktionary2017
2027,2028,998,,,wiktionary2017
2028,2027,999,,,wiktionary2017
2029,2029,999,,,wiktionary2017
2030,2030,1000,,,wiktionary2017
2031,2032,1000,,,wiktionary2017
2032,2031,1001,,,wiktionary2017
2033,2033,1001,,,wiktionary2017
2034,2034,1002,,,wiktionary2017
2035,2036,1002,,,wiktionary2017
2036,2035,1003,,,wiktionary2017
2037,2037,1003,,,wiktionary2017
2038,2038,1004,,,wiktionary2017
2039,2039,1004,,,wiktionary2017
2040,2040,1005,,,deVaan2008
2041,2042,1005,,,deVaan2008
2042,2041,1006,,,deVaan2008
2043,2043,1006,,,deVaan2008
2044,2044,1007,,,deVaan2008
2045,2046,1007,,,deVaan2008
2046,2045,1008,,,deVaan2008
2047,2047,1008,,,deVaan2008
2048,2048,1009,,,wiktionary2017
2049,2050,1009,,,wiktionary2017
2050,2049,1010,,,wiktionary2017
2051,2051,1010,,,wiktionary2017
2052,2052,1011,,,wiktionary2017
2053,2054,1011,,,wiktionary2017
2054,2053,1012,,,wiktionary2017
2055,2055,1012,,,wiktionary2017
2056,2056,1013,,,wiktionary2017
2057,2058,1013,,,wiktionary2017
2058,2057,1014,,,wiktionary2017
2059,2059,1014,,,wiktionary2017
2060,2060,1015,,,deVaan2008
2061,2062,1015,,,deVaan2008
2062,2061,1016,,,deVaan2008
2063,2063,1016,,,deVaan2008
2064,2064,1017,,,deVaan2008
2065,2066,1017,,,deVaan2008
2066,2065,1018,,,deVaan2008
2067,2067,1018,,,deVaan2008
2068,2068,1019,,,wiktionary2017
2069,2070,1019,,,wiktionary2017
2070,2069,1020,,,wiktionary2017
2071,2071,1020,,,wiktionary2017
2072,2072,1021,,,wiktionary2017
2073,2074,1021,,,wiktionary2017
2074,2073,1022,,,wiktionary2017
2075,2075,1022,,,wiktionary2017
2076,2076,1023,,,wiktionary2017
2077,2078,1023,,,wiktionary2017
2078,2077,1024,,,wiktionary2017
2079,2079,1024,,,wiktionary2017
2080,2080,1025,,,wiktionary2017
2081,2082,1025,,,wiktionary2017
2082,2081,1026,,,wiktionary2017
2083,2083,1026,,,wiktionary2017
2084,2084,1027,,,deVaan2008
2085,2086,1027,,,deVaan2008
2086,2085,1028,,,deVaan2008
2087,2087,1028,,,deVaan2008
